sample	mean_coverage	median_coverage
155_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.4321	18
156_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.8649	15
157_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.7303	13
158_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.3401	13
159_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.7252	16
160_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.5661	18
17_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	42.1705	26
19_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	44.1475	30
20_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	32.7716	23
389_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	30.3422	23
390_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.8794	26
391_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.8194	27
392_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.9562	21
393_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	41.4161	29
79_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.754	20
80_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	18.5962	15
81_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.6793	19
82_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.5569	25
83_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.3048	13
93_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.7085	13
94_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	41.7718	27
100_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.5485	20
101_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.4536	21
102_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	34.1655	23
103_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	32.9967	25
185_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.9157	24
186_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.9971	17
187_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.6114	17
188_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.9592	19
206_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.7675	22
207_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.4979	12
208_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.9394	16
209_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	33.0641	25
273_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.3413	15
274_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.5317	17
275_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.509	22
305_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	30.3924	23
306_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.1074	19
43_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.4525	23
45_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	38.886	26
46_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	38.0042	25
98_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.4841	14
99_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.5223	17
119_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	62.7862	35
120_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	37.4894	27
288_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.2565	19
289_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.8988	13
316_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.4487	16
317_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.4418	20
318_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	18.8306	15
319_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.0199	15
320_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	39.3202	31
